BJP,INC,AGP,AIUDF,BPF,UPPL,OTHER,NDA,OPPOSITION
54,51,8,10,0,4,0,66,61
52,43,11,13,0,8,0,71,56
50,45,14,13,0,5,0,69,58
53,44,10,12,0,8,0,71,56
62,45,9,7,0,4,0,75,52
52,52,9,8,0,6,0,67,60
61,39,11,7,0,9,0,81,46
52,45,12,13,0,5,0,69,58
53,52,6,10,0,6,0,65,62
53,45,13,8,0,8,0,74,53
56,42,9,11,0,9,0,74,53
57,40,12,14,0,4,0,73,54
53,50,8,11,0,5,0,66,61
57,47,10,6,0,7,0,74,53
53,46,13,11,0,4,0,70,57
56,46,9,10,0,6,0,71,56
48,53,10,11,0,5,0,63,64
55,46,8,13,0,5,0,68,59
55,45,9,11,0,7,0,71,56
51,52,5,12,0,7,0,63,64
50,57,2,11,0,7,0,59,68
55,47,8,10,0,7,0,70,57
62,42,11,8,0,4,0,77,50
54,48,10,9,0,6,0,70,57
48,53,8,10,0,8,0,64,63
56,48,9,9,0,5,0,70,57
58,51,6,7,0,5,0,69,58
59,44,9,7,0,8,0,76,51
56,42,13,9,0,7,0,76,51
44,55,12,9,0,7,0,63,64
52,46,10,13,0,6,0,68,59
45,58,8,11,0,5,0,58,69
61,38,11,11,0,6,0,78,49
49,47,13,12,0,6,0,68,59
55,52,5,9,0,6,0,66,61
61,38,9,14,0,5,0,75,52
47,54,6,14,0,6,0,59,68
62,36,9,14,0,6,0,77,50
51,48,11,12,0,5,0,67,60
46,53,11,11,0,6,0,63,64
63,35,9,12,0,8,0,80,47
48,50,14,10,0,5,0,67,60
54,49,7,11,0,6,0,67,60
46,55,11,9,0,6,0,63,64
60,41,9,7,0,10,0,79,48
60,36,11,12,0,8,0,79,48
51,47,10,11,0,8,0,69,58
61,41,11,7,0,7,0,79,48
54,45,9,13,0,6,0,69,58
49,49,12,10,0,7,0,68,59
51,48,10,12,0,6,0,67,60
54,45,10,13,0,5,0,69,58
47,52,12,9,0,7,0,66,61
51,48,13,8,0,7,0,71,56
58,40,12,12,0,5,0,75,52
60,36,12,13,0,6,0,78,49
61,38,12,11,0,5,0,78,49
59,36,12,13,0,7,0,78,49
56,42,9,13,0,7,0,72,55
45,57,10,10,0,5,0,60,67
50,47,11,12,0,7,0,68,59
54,45,7,13,0,8,0,69,58
57,42,10,9,0,9,0,76,51
56,43,13,8,0,7,0,76,51
57,40,12,10,0,8,0,77,50
52,52,14,4,0,5,0,71,56
50,49,9,13,0,6,0,65,62
56,41,11,12,0,7,0,74,53
54,46,10,9,0,8,0,72,55
56,42,12,9,0,8,0,76,51
56,48,12,5,0,6,0,74,53
51,47,11,9,0,9,0,71,56
55,47,8,10,0,7,0,70,57
61,42,11,8,0,5,0,77,50
50,50,8,12,0,7,0,65,62
50,44,13,13,0,7,0,70,57
